timestamp,epoch,elapsed_s,phase,node,roles,cpu_percent,load_1m,load_5m,load_15m,ram_percent,heap_percent,heap_used_bytes,heap_max_bytes,disk_used_percent,young_gc_count,young_gc_millis,old_gc_count,old_gc_millis,indexing_index_total,indexing_current,indexing_time_millis,indexing_rate_per_s,search_query_total,search_query_current,search_query_time_millis,search_rate_per_s,search_latency_ms_avg,merges_current,refresh_total,docs_count,store_size_bytes,search_pool_active,search_pool_queue,search_pool_rejected,write_pool_active,write_pool_queue,write_pool_rejected
2026-07-28T23:26:31-04:00,1785295591.074,4.2,baseline,03630dbf8bbeb4b9593591c3d088c86a,dir,9,0.66,0.86,1.03,97,39,802025752,2013265920,17.42,45807,20627660,0,0,2798796,0,4673887,,669016,0,9443351,,14.12,0,1479616,1703902,2711569869,0,0,0,0,0,0
2026-07-28T23:26:31-04:00,1785295591.074,4.2,baseline,2b48e7468691103c7d0719a1e8eba6b8,mr,1,0.6,0.43,0.42,95,69,1391434680,2013265920,32.16,33953,9490470,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
2026-07-28T23:26:31-04:00,1785295591.074,4.2,baseline,926f51bc44e9afb28bd9f4eff0246612,mr,4,0.67,0.56,0.52,96,25,513939032,2013265920,32.07,24871,10775365,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
2026-07-28T23:26:31-04:00,1785295591.074,4.2,baseline,c8b55bedfd9f0fe3807e0750eda622d5,dir,5,0.82,1.22,1.39,97,26,529745672,2013265920,17.36,47624,22439296,0,0,2777738,0,5299193,,620350,0,8318462,,13.41,0,1343930,1703430,2701157878,0,0,0,0,0,0
2026-07-28T23:26:31-04:00,1785295591.074,4.2,baseline,d1f93aa0cf46f30b50b7c808d9b97f45,mr,2,0.34,0.48,0.52,95,37,753745392,2013265920,31.53,42349,16756478,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
2026-07-28T23:26:31-04:00,1785295591.074,4.2,baseline,d4bf7949f79fd89363109b965457f2c4,dir,8,1.11,1.59,1.48,97,55,1114067392,2013265920,11.65,43748,21024200,0,0,1875295,0,3676174,,457420,0,6540070,,14.3,0,994845,1134729,1807183601,0,0,0,0,0,0
2026-07-28T23:26:31-04:00,1785295591.074,4.2,baseline,f079abb8520cc2abe929aef1be71de3a,dir,23,1.01,1.65,1.91,97,37,764814360,2013265920,11.55,56878,30052496,0,0,1874162,1,4173880,,525764,0,10106278,,19.22,0,1134198,1135200,1792391245,0,0,0,0,0,0
2026-07-28T23:27:34-04:00,1785295654.84,68.0,baseline,03630dbf8bbeb4b9593591c3d088c86a,dir,6,0.42,0.73,0.98,97,46,942534936,2013265920,17.42,45807,20627660,0,0,2798796,0,4673887,0.0,669028,0,9443642,0.19,14.12,0,1479616,1703902,2711569869,0,0,0,0,0,0
2026-07-28T23:27:34-04:00,1785295654.84,68.0,baseline,2b48e7468691103c7d0719a1e8eba6b8,mr,1,0.22,0.35,0.39,96,72,1460640696,2013265920,32.21,33953,9490470,0,0,0,0,0,0.0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0
2026-07-28T23:27:34-04:00,1785295654.84,68.0,baseline,926f51bc44e9afb28bd9f4eff0246612,mr,8,0.25,0.45,0.48,97,28,583145048,2013265920,32.12,24871,10775365,0,0,0,0,0,0.0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0
