timestamp,epoch,elapsed_s,phase,check,ok,http_status,count,latency_s,os_sample_inflight,query,detail
2026-07-28T23:26:27-04:00,1785295587.055,0.2,baseline,dashboard,1,200,547909,0.183,1,,"datasets available (>= 547,883)"
2026-07-28T23:26:28-04:00,1785295588.44,1.6,baseline,search,1,200,10000,1.568,1,school OR zzaezya113t3y3ol9xdx6ev6jj,hits
2026-07-28T23:26:39-04:00,1785295599.363,12.5,baseline,search,1,200,10000,0.917,0,school OR zzs6fzowtts8m7k8jsu8o4s4mh,hits
2026-07-28T23:26:49-04:00,1785295609.926,23.1,baseline,search,1,200,10000,0.556,0,school OR zzko8rw7yr3xrrd8kt4fx4tttm,hits
2026-07-28T23:26:57-04:00,1785295617.53,30.7,baseline,dashboard,1,200,547909,0.474,0,,"datasets available (>= 547,883)"
2026-07-28T23:27:00-04:00,1785295620.547,33.7,baseline,search,1,200,10000,0.615,0,school OR zz4u1v9i667umkua6g26s7xy81,hits
2026-07-28T23:27:11-04:00,1785295631.683,44.8,baseline,search,1,200,10000,1.129,0,school OR zzw9w30e4yj2w5mxmqozxnpa8b,hits
2026-07-28T23:27:22-04:00,1785295642.456,55.6,baseline,search,1,200,10000,0.77,0,school OR zz2xgu557itvdvkyfywdawpkvo,hits
2026-07-28T23:27:27-04:00,1785295647.727,60.9,baseline,dashboard,1,200,547909,0.191,0,,"datasets available (>= 547,883)"
2026-07-28T23:27:33-04:00,1785295653.118,66.2,baseline,search,1,200,10000,0.655,1,school OR zzzlww71kvaaj374grndv4o91c,hits
2026-07-28T23:27:43-04:00,1785295663.635,76.8,baseline,search,1,200,10000,0.511,0,school OR zzp2jjmhs44pg7mu2xe7yavc6p,hits
2026-07-28T23:27:54-04:00,1785295674.4,87.5,baseline,search,1,200,10000,0.758,0,school OR zzr60g6ygs45ta55xqag9lhfrr,hits
2026-07-28T23:27:58-04:00,1785295678.009,91.1,baseline,dashboard,1,200,547909,0.281,0,,"datasets available (>= 547,883)"
2026-07-28T23:28:05-04:00,1785295685.189,98.3,baseline,search,1,200,10000,0.779,0,school OR zzc0vhiho9e21y2a9dvd8b4ngf,hits
2026-07-28T23:28:16-04:00,1785295696.055,109.2,baseline,search,1,200,10000,0.858,0,school OR zzr3goetg1q19m6onwghjh39qe,hits
2026-07-28T23:28:26-04:00,1785295706.747,119.9,baseline,search,1,200,10000,0.69,0,school OR zzbs53cruihxeqnyem45fxfe7x,hits
2026-07-28T23:28:28-04:00,1785295708.198,121.3,baseline,dashboard,1,200,547909,0.183,0,,"datasets available (>= 547,883)"
2026-07-28T23:28:37-04:00,1785295717.455,130.6,baseline,search,1,200,10000,0.702,1,school OR zz9p1cde8nrr2l7qlr47w4vprn,hits
2026-07-28T23:28:48-04:00,1785295728.863,142.0,baseline,search,1,200,10000,1.401,0,school OR zzpx0j6jb77z6ejiqf798ys8l6,hits
2026-07-28T23:28:58-04:00,1785295738.418,151.5,baseline,dashboard,1,200,547909,0.218,0,,"datasets available (>= 547,883)"
2026-07-28T23:28:59-04:00,1785295739.516,152.6,baseline,search,1,200,10000,0.644,0,school OR zzse7h4zimzar77yjec2oc17gx,hits
2026-07-28T23:29:10-04:00,1785295750.357,163.5,baseline,search,1,200,10000,0.836,0,school OR zzfpfngn5xglqmwm3vlt6w0jmb,hits
2026-07-28T23:29:20-04:00,1785295760.932,174.1,baseline,search,1,200,10000,0.571,0,school OR zzofsjczhi68fr17hmuzr7cosu,hits
2026-07-28T23:29:28-04:00,1785295768.602,181.7,baseline,dashboard,1,200,547909,0.183,0,,"datasets available (>= 547,883)"
2026-07-28T23:29:31-04:00,1785295771.573,184.7,baseline,search,1,200,10000,0.634,0,school OR zzaj26xb7m45pt3tcxr9zuhue5,hits
2026-07-28T23:29:42-04:00,1785295782.339,195.5,baseline,search,1,200,10000,0.758,1,school OR zzy7rszkfrlueh01vous4o8s1u,hits
2026-07-28T23:29:52-04:00,1785295792.914,206.0,baseline,search,1,200,10000,0.569,0,school OR zznowd076tzv9nmthv9tfns7ph,hits
2026-07-28T23:29:58-04:00,1785295798.78,211.9,baseline,dashboard,1,200,547909,0.172,0,,"datasets available (>= 547,883)"
2026-07-28T23:30:03-04:00,1785295803.907,217.0,baseline,search,1,200,10000,0.987,0,school OR zzuqk5p3mrhj5qc65ffrctj6d7,hits
